3, 17, 22, 29, 34, 42, 9
7, 25, 11, 8, 20, 32, 30
5, 19, 13, 42, 21, 28, 35
4, 10, 18, 35, 36, 38, 21
8, 16, 17, 23, 29, 32, 7
4, 7, 10, 16, 27, 41, 12
11, 14, 16, 22, 28, 30, 7
14, 15, 18, 26, 28, 35, 17
8, 14, 19, 22, 31, 37, 33
3, 6, 9, 13, 14, 17, 24
18, 22, 25, 30, 36, 42, 1
9, 11, 15, 29, 31, 41, 5
4, 20, 21, 22, 23, 28, 25
10, 18, 24, 33, 38, 40, 41
3, 4, 17, 27, 34, 40, 38
14, 15, 19, 27, 29, 39, 30
4, 11, 12, 17, 27, 35, 39
2, 5, 16, 17, 29, 40, 18
8, 24, 25, 31, 38, 41, 2
3, 17, 21, 23, 30, 39, 22
10, 19, 23, 33, 39, 42, 16
1, 9, 11, 26, 28, 30, 35
4, 5, 10, 28, 38, 41, 33
9, 11, 17, 18, 22, 25, 24
4, 9, 13, 14, 23, 37, 35
6, 15, 28, 29, 33, 35, 22
10, 11, 12, 14, 25, 32, 4
6, 13, 21, 25, 26, 36, 27
7, 13, 22, 23, 31, 38, 19
4, 7, 11, 20, 29, 38, 18
12, 15, 22, 26, 37, 42, 41
17, 26, 30, 35, 37, 41, 9
6, 10, 13, 22, 29, 36, 3
8, 12, 16, 17, 33, 40, 3
1, 12, 25, 31, 40, 41, 34
3, 4, 6, 12, 16, 19, 31
1, 6, 21, 24, 38, 42, 7
4, 6, 7, 20, 23, 36, 33
15, 19, 26, 31, 36, 37, 32
3, 23, 24, 36, 37, 39, 35
1, 4, 8, 12, 13, 36, 27
3, 9, 14, 15, 24, 41, 39
4, 27, 29, 33, 37, 39, 14
1, 9, 15, 29, 35, 41, 19
3, 12, 23, 29, 31, 32, 16
2, 3, 8, 25, 30, 37, 22
1, 10, 21, 23, 37, 40, 29
1, 7, 17, 26, 28, 38, 6
1, 3, 20, 29, 40, 42, 17
8, 11, 15, 18, 23, 38, 12
1, 4, 21, 22, 33, 37, 30
15, 18, 24, 30, 36, 38, 3
5, 14, 15, 19, 30, 34, 42
4, 20, 25, 34, 35, 40, 14
9, 22, 25, 34, 41, 42, 17
1, 6, 21, 23, 25, 42, 26
12, 15, 16, 32, 33, 36, 13
3, 19, 27, 31, 35, 41, 29
5, 11, 14, 19, 25, 32, 42
6, 10, 14, 15, 33, 37, 24
2, 3, 16, 27, 28, 35, 34
7, 12, 20, 27, 28, 29, 23
6, 10, 11, 24, 26, 37, 1
7, 8, 16, 31, 32, 42, 38
8, 10, 24, 26, 28, 36, 17
9, 18, 29, 34, 38, 42, 25
5, 18, 30, 33, 35, 41, 17
10, 19, 21, 25, 28, 41, 20
1, 3, 12, 17, 22, 39, 18
3, 5, 16, 23, 28, 34, 24
9, 12, 15, 17, 25, 27, 24
1, 3, 15, 19, 31, 36, 5
22, 23, 25, 32, 34, 38, 28
2, 5, 14, 15, 26, 34, 28
3, 4, 9, 24, 34, 35, 21
1, 6, 9, 30, 31, 39, 23
10, 14, 20, 22, 32, 38, 16
8, 20, 22, 25, 35, 41, 30
9, 10, 15, 25, 40, 42, 28
3, 10, 11, 15, 34, 36, 6
2, 10, 14, 17, 19, 34, 41
3, 7, 10, 22, 33, 34, 23
7, 9, 13, 17, 35, 39, 4
4, 12, 17, 23, 26, 27, 9
6, 13, 14, 19, 23, 39, 16
2, 3, 18, 21, 30, 34, 35
13, 17, 21, 25, 31, 41, 28
8, 18, 19, 22, 28, 32, 29
13, 16, 19, 24, 32, 34, 6
4, 9, 14, 16, 24, 30, 38
3, 6, 9, 16, 17, 42, 13
9, 19, 24, 35, 36, 39, 22
1, 4, 10, 26, 28, 41, 25
14, 21, 25, 28, 31, 33, 2
15, 16, 18, 20, 28, 34, 27
2, 9, 14, 19, 39, 42, 31
12, 19, 23, 24, 35, 38, 37
2, 5, 7, 22, 28, 42, 21
4, 8, 16, 19, 22, 36, 27
10, 19, 30, 33, 39, 41, 36
2, 4, 11, 24, 30, 36, 8
2, 9, 15, 32, 38, 39, 37
7, 11, 28, 29, 41, 42, 32
3, 6, 14, 16, 22, 25, 4
10, 11, 18, 20, 40, 41, 21
1, 14, 23, 24, 36, 37, 25
1, 12, 13, 25, 31, 42, 39
16, 19, 22, 24, 25, 33, 5
6, 7, 9, 16, 21, 25, 20
8, 9, 10, 12, 19, 34, 22
15, 21, 23, 28, 31, 41, 36
9, 12, 14, 22, 25, 29, 37
3, 9, 13, 23, 30, 32, 21
3, 17, 22, 24, 29, 38, 16
1, 15, 22, 34, 39, 40, 31
2, 3, 7, 8, 14, 38, 24
3, 4, 7, 11, 19, 35, 17
1, 5, 7, 23, 26, 40, 12
4, 7, 17, 21, 26, 30, 25
3, 5, 9, 30, 34, 41, 12
8, 13, 22, 24, 28, 33, 2
4, 10, 11, 21, 24, 27, 19
2, 4, 6, 27, 36, 39, 5
11, 15, 22, 28, 30, 36, 19
2, 4, 7, 13, 20, 22, 15
10, 13, 28, 29, 35, 39, 20
5, 12, 18, 30, 31, 34, 11
3, 15, 22, 33, 34, 42, 13
5, 16, 17, 19, 20, 37, 2
6, 16, 17, 21, 35, 39, 34
7, 9, 10, 18, 24, 32, 31
2, 5, 9, 32, 39, 42, 35
2, 3, 28, 34, 36, 42, 30
1, 4, 12, 20, 34, 41, 17
1, 18, 24, 25, 26, 37, 16
9, 17, 18, 29, 34, 42, 41
17, 22, 24, 26, 34, 38, 42
